"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_23coef","knot_24coef","knot_25coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location","knot_23_location","knot_24_location","knot_25_location"
"0-17",1,-18.1669213716012,-1.85241753653957,1.39544814100154,-0.129408157934846,0.193350936385142,-0.0921224976515643,0.0404975464772182,-0.016082925076422,0.00428441192843139,-0.000519297608970899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0587106803286,0.0499340806616219,-0.00398582888358763,6.76064503973218e-05,0.00132254523402531,-0.00539024712541258,0.00590456728976051,0.0133908082476398,-0.0476894097276067,0.0566580206171817,-0.0326732375478528,0.0110831423133423,-0.00360350000363986,0.00110539271713102,-0.000175643173148769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.036580939216,0.00745805398320746,-0.00019502886180022,1.30003162638976e-06,-0.000465499859860707,0.0103345395519341,-0.0253026153774439,0.0206703275926787,-0.00397936082696657,-0.00126186057689248,0.00075374144853022,-0.0163142277212025,0.0535950136705615,-0.0763381937935638,0.0464052861326478,0.0245467110574405,-0.0933532660413774,0.117438578584018,-0.0858564130769657,0.0478895785276357,-0.0561567794877354,0.0825464780626392,-0.068675454870358,0.0328773079224373,-0.0367414940923095,0.0744223758242367,-0.0940173278560075,0.113646135212481,0,110,121,126.5,132,137.5,143,258.5,269.5,275,280.5,286,291.5,297,302.5,308,313.5,319,324.5,330,335.5,341,346.5,352,357.5,-1
"18-49",3,-15.04803989971,0.00870490242177737,-0.000239382161790638,1.6805738919921e-06,-0.000775490540399084,0.00177452590107428,0.0075464222186189,-0.0267067951586062,0.0284502614808851,-0.0111950518845817,0.000902721927393003,-0.000630006363716845,0.00371474268096088,-0.00863624401421767,0.0379814420909191,-0.073933910777905,0.0642702845179958,-0.0292563346133309,0.00910250552671628,-0.00404254433414563,0.0058540250862738,-0.007370296818318,-0.00998787576632613,0.0510469536504083,-0.0784724218328423,0.0595645115696565,-0.0245825171570098,0.00773418679026707,-0.00317911036040494,104.5,110,115.5,121,126.5,132,137.5,247.5,253,258.5,269.5,275,280.5,286,291.5,297,308,313.5,319,324.5,330,335.5,341,346.5,352
