"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location"
"0-17",1,-18.6683089119888,-1.96535230871512,1.47450178769458,-0.136684085893491,0.20418258644134,-0.0972600767129761,0.042771073902379,-0.0169843845241739,0.00452323738000838,-0.000548333625660456,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0708288349356,0.0563993310254592,-0.00452823424491642,7.78045209223009e-05,0.00144993741056989,-0.00592456190961579,0.0061199884221866,0.01536939343146,-0.0519925021837728,0.0607232049063726,-0.0347839854119414,0.0118202176630065,-0.00385422059736777,0.00118271809510749,-0.000187946876974274,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9776688081683,-0.00337095995224926,9.41990915562155e-05,-6.62785847572595e-07,-0.000321309683409513,0.00192429221730296,-0.0043227034829443,0.00290548084754503,0.0148660384998265,-0.0434740703183225,0.0467196581525333,-0.0231529708733412,0.00628548663391615,-0.00170375315868946,0.000278554922993694,-5.241924165236e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,220
"18-49",3,-14.9782448274819,-0.00333094280963301,9.30793073443298e-05,-6.5489238371427e-07,-0.000317661713423065,0.00190240946342167,-0.00427405490157502,0.0028761793803311,0.0146796343637244,-0.0429949714153398,0.0462321855048908,-0.0228420197201521,0.00613267252432822,-0.0016621367500459,0.000269774796596993,-1.92692296179369e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,247.5
"50-64",3,-14.9801042203468,-0.00309305846007134,8.64052658557354e-05,-6.07674038328402e-07,-0.000298311968021854,0.00178661080547477,-0.00402460821302678,0.00272290305028717,0.0144052505936186,-0.0414684183432932,0.0428228243146655,-0.0194016208549474,0.00462920018551617,-0.00139949890344983,0.000227473421070612,-1.95590356302222e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,264
"65+",3,-14.9782084573474,-0.00330088700600547,9.22491017825788e-05,-6.49139209392313e-07,-0.000314058917811909,0.00188156193093921,-0.00422557993888158,0.00279402127553091,0.0152400918094272,-0.0435583637235674,0.0448792298594108,-0.0203226605823439,0.00486155748833696,-0.00147453196883518,0.000240806191410104,-1.96370207815563e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,253
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
