"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location"
"0-17",1,-18.6683089119888,-1.96535230871512,1.47450178769458,-0.136684085893491,0.20418258644134,-0.0972600767129761,0.042771073902379,-0.0169843845241739,0.00452323738000838,-0.000548333625660456,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0708288349356,0.0563993310254592,-0.00452823424491642,7.78045209223009e-05,0.00144993741056989,-0.00592456190961579,0.0061199884221866,0.01536939343146,-0.0519925021837728,0.0607232049063726,-0.0347839854119414,0.0118202176630065,-0.00385422059736777,0.00118271809510749,-0.000187946876974274,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.976281332196,-0.00330395590664914,9.23086636208474e-05,-6.4931390242222e-07,-0.000316768710998277,0.00189648822540455,-0.00426551983956759,0.00291539403996441,0.0142462034570173,-0.0423062508365075,0.0465100422287811,-0.0240081464617741,0.006784317721199,-0.00172977122090779,0.000276273955426787,-2.44471909289873e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,275
"18-49",3,-14.9799334546491,-0.00285993459997545,7.98792271442591e-05,-5.61646326793365e-07,-0.000277345610365007,0.00166077287811562,-0.0037456703170499,0.00255988057700102,0.0133153157943964,-0.0385404021006408,0.0399441142582912,-0.0181279675172488,0.00428852003604922,-0.00128087966201319,0.000204533904954236,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1
"50-64",3,-14.9758709951934,-0.00275485089358999,7.70117198450183e-05,-5.4213066156266e-07,-0.000259769465542121,0.00155701605223442,-0.00348984778970023,0.00224807579428374,0.0130776260818291,-0.0364294542789804,0.0361881279899789,-0.0154855884174103,0.00373747378849956,-0.00133339377737869,0.0001916473073587,-4.15275065534521e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,297
"65+",3,-14.9761215378307,-0.00329227470519746,9.20398378687316e-05,-6.47968674770835e-07,-0.00030970020244813,0.0018559917543013,-0.00415737270372483,0.00269403839081456,0.0151011024684635,-0.0428732168039282,0.0440561072989084,-0.019924826780769,0.0047704009227576,-0.00144637396162708,0.000236030828034044,-2.10292349430412e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,253
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
