"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location"
"0-17",1,-3.04762857835197,0.0114520819215359,-0.00258061550076504,0.000135388145788086,-0.0002378771166908,0.00019312118526576,-9.0633075364127e-05,0,0,0,0,0,0,0,0,0,11,22,27.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9931299226228,-0.00484444902528871,-0.00372532265674062,0.00038135667092334,-0.00266309617924677,0.00652238678065544,-0.00862632100183997,0.00469926474015884,0.0228000324936341,-0.0716849664813534,0.0865979887857583,-0.0534050585937802,0.0211211577306783,-0.00740932575816329,0.00197646867737354,-0.000309899037623904,11,16.5,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9739515825193,-0.00364165022932963,0.000101737074005634,-7.15575254906446e-07,-0.000349742098892432,0.00209359724734276,-0.00471044213879812,0.00324158581998416,0.0154747985016608,-0.0463471590001719,0.0516201857858541,-0.0272505687245155,0.00786755032386823,-0.00194450828023879,0.000306922477936387,-6.36430286653661e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,308
"18-49",3,-14.9745326188863,-0.00351415657987687,9.81792093291293e-05,-6.9058692127764e-07,-0.000337174484131908,0.00201862676887545,-0.00454102584779154,0.00310748437135654,0.0151627350098237,-0.0451062088303618,0.0495438587917599,-0.0253736586509197,0.00704035696520005,-0.00179704285143803,0.000283208037374631,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1
"50-64",3,-14.97455814402,-0.00362966632586755,0.000101423392127433,-7.1356769297619e-07,-0.000346519128617235,0.0020751509458298,-0.00466323955174357,0.00314511584236283,0.0159801042014395,-0.0468717036498735,0.0504340502183931,-0.0248766846658412,0.00660789200395521,-0.00176157818969859,0.000278662146967785,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1
"65+",3,-14.9792689859395,-0.00322263815063246,8.99878473713305e-05,-6.32511467256675e-07,-0.000315008952153596,0.0018859793018645,-0.00426107671267109,0.0029465683270399,0.015133530873613,-0.043885499479095,0.04543448423273,-0.0206033466055489,0.00490715925507543,-0.00148124083775376,0.000240241761523804,-2.19696886707402e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,269.5
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
