"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location"
"0-17",1,-3.04762857835197,0.0114520819215359,-0.00258061550076504,0.000135388145788086,-0.0002378771166908,0.00019312118526576,-9.0633075364127e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,27.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9931299226228,-0.00484444902528871,-0.00372532265674062,0.00038135667092334,-0.00266309617924677,0.00652238678065544,-0.00862632100183997,0.00469926474015884,0.0228000324936341,-0.0716849664813534,0.0865979887857583,-0.0534050585937802,0.0211211577306783,-0.00740932575816329,0.00197646867737354,-0.000309899037623904,0,0,0,0,0,0,0,0,0,0,11,16.5,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-15.0292256834508,0.00577779355602677,-0.000159383198248515,1.11691504523737e-06,-0.000364252475927784,0.0109183241731412,-0.030044585696586,0.030123456247705,-0.0116350445483058,0.00100082156030641,1.65818716027075e-05,0.00137775995899188,-0.007789218654228,0.00737018574904235,0.0269419877148949,-0.0852487226875941,0.113693923140765,-0.0879262971440177,0.0420205777436886,-0.046564426042857,0.073730123269396,-0.0535088143144439,0.0279706693174273,-0.0383703148040443,0.0558332087142986,-0.0699199746254675,104.5,115.5,121,126.5,132,137.5,247.5,275,280.5,286,291.5,297,302.5,308,313.5,324.5,330,335.5,341,346.5,352,357.5
"18-49",3,-15.0482986101388,0.00757932127428643,-0.000208393015547333,1.46247312408772e-06,-0.000646479610598259,0.00130148611100301,0.00803495216197974,-0.0254318252061267,0.025154285463734,-0.00942689980634955,0.00165088914014334,-0.000640607970786031,0.000100105381841358,-0.00226175237127656,0.00580399866759991,-0.00627313245370618,0.00291257020947486,0.00431883073366571,-0.0241871767789859,0.0558436032492107,-0.0633895486029912,0.0297258778967891,0.00328473154514723,-0.00819375551461878,0.00240154656847102,0,104.5,110,115.5,121,126.5,132,137.5,143,247.5,269.5,275,280.5,286,291.5,297,302.5,308,313.5,319,324.5,330,-1
"50-64",3,-14.9776693120246,-0.00301432687495406,8.4246842087261e-05,-5.92888387961038e-07,-0.000286081218513637,0.00171402215772825,-0.0038471272722089,0.00253484791668692,0.0138582832007544,-0.0396282806577557,0.0408927563562482,-0.0185370180850401,0.00441587051145678,-0.00133141187898286,0.000215535911664768,-2.04959717449731e-06,0,0,0,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,275,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",3,-14.9735790445344,-0.00285087075829397,7.96697744839898e-05,-5.60591961471549e-07,-0.000271683784045876,0.00162781767570227,-0.00365704257981556,0.00240894054645055,0.0134510307497591,-0.0377586524417183,0.037573977125514,-0.0158355637587504,0.00336978707041892,-0.000946417162785107,3.9454101869584e-05,-4.11539474983785e-06,0,0,0,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,154,297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
