"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_14coef","knot_15coef","knot_16coef","knot_17coef","knot_18coef","knot_19coef","knot_20coef","knot_21coef","knot_22coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location","knot_14_location","knot_15_location","knot_16_location","knot_17_location","knot_18_location","knot_19_location","knot_20_location","knot_21_location","knot_22_location"
"0-17",1,-18.2219511027257,-1.86481267954186,1.40412466494829,-0.130206726575366,0.194539762897586,-0.0926863720535079,0.0407470772194993,-0.0161818646548124,0.00431062418843738,-0.000522484453630554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0600329947033,0.0506436734748907,-0.00404536052195708,6.87257384609575e-05,0.00133652714778447,-0.00544889078341232,0.00592821081149702,0.0136079676380987,-0.0481616951477684,0.0571041944537103,-0.0329049024381984,0.0111640399340801,-0.00363101781381197,0.00111387955521262,-0.00017699356477483,0,0,0,0,0,0,0,0,0,0,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9783288879724,-0.00229514578926532,6.41729400239898e-05,-4.51867973807948e-07,-0.00021509324965784,0.00128953032975828,-0.00288628878307627,0.00183228848454515,0.0109675682791589,-0.0302307963049492,0.0296851858243326,-0.012517746231826,0.00303622764525566,-0.00111591554693206,0.000156456551627533,-0.000694975091709301,0.0022630636959798,-0.0013023235866226,-0.00472723755000377,0.0120893133644197,-0.015319842442752,0.0120208604741709,-0.00502790261048025,0.000597443029227903,0.000400235064629961,-0.000538020696744528,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,275,280.5,286,291.5,297,302.5,308,313.5,319,346.5,357.5
"18-49",3,-14.976660009612,-0.00327872674516015,9.1618012995536e-05,-6.44590792604854e-07,-0.000312870348884876,0.00187358648156987,-0.0042097707055111,0.00284193104802469,0.0143400813533878,-0.0421813918284955,0.0456278713793141,-0.0227363321620892,0.00611338134437811,-0.00160948925202811,0.000254229254664497,0,0,0,0,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",3,-14.9745750820727,-0.003088450614755,8.63505622331938e-05,-6.08001066230806e-07,-0.000289528378922213,0.00173526575140214,-0.00388388245638075,0.00250078382539155,0.0141446784688863,-0.040071191846594,0.0411284014433313,-0.0185879739053132,0.00446123719829597,-0.00135659636457783,0.000222146584002127,-3.88378803221771e-06,0,0,0,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",3,-14.977926278354,-0.00328436565025568,9.17816770936481e-05,-6.45795189315303e-07,-0.000313129415542494,0.00187589369984686,-0.00421480316988561,0.00279685288912525,0.0151815629433693,-0.0434386486183894,0.0447676932306182,-0.0202657898317668,0.00483607450996334,-0.00146036219154141,0.000236870183676184,-3.03407079203563e-06,0,0,0,0,0,0,0,0,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,258.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
