"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location"
"0-17",1,-3.04762857835197,0.0114520819215359,-0.00258061550076504,0.000135388145788086,-0.0002378771166908,0.00019312118526576,-9.0633075364127e-05,0,0,0,0,0,0,0,0,0,0,11,22,27.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9931299226228,-0.00484444902528871,-0.00372532265674062,0.00038135667092334,-0.00266309617924677,0.00652238678065544,-0.00862632100183997,0.00469926474015884,0.0228000324936341,-0.0716849664813534,0.0865979887857583,-0.0534050585937802,0.0211211577306783,-0.00740932575816329,0.00197646867737354,-0.000309899037623904,0,11,16.5,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9785875973241,-0.00252606465731064,7.05519603854896e-05,-4.96043458960106e-07,-0.000245246572213878,0.00146858348255745,-0.00331307771566011,0.00226396252575379,0.0118496569153493,-0.0341414372323632,0.0351948060370166,-0.0159035902144023,0.00377753874118854,-0.00113081929922495,0.00018108827319819,-1.09758667073466e-05,0.000264501364623567,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,319,357.5
"18-49",3,-14.9757806050362,-0.00315843694854946,8.82585990132123e-05,-6.20973108745211e-07,-0.00030118143465198,0.00180361924423967,-0.00405191182470175,0.0027320837370143,0.01380846806279,-0.0405768815078446,0.0439064261442041,-0.0219587742725356,0.00596004211013782,-0.00157046450840256,0.000250156360512339,-3.13322802586431e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,297,-1
"50-64",3,-14.9752464836392,-0.00372497428512066,0.00010406853388065,-7.32007340899617e-07,-0.000357429736624316,0.0021398316955234,-0.00481373144446226,0.00329837079572363,0.0160032378002412,-0.0477552827374414,0.0526370463219534,-0.027048664491072,0.00750984773656261,-0.00191430736768478,0.000301813897235289,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1
"65+",3,-14.9757824341328,-0.00371351608903373,0.000103762187296272,-7.29982751001072e-07,-0.000354936935654078,0.00212539247808855,-0.00477730326569001,0.00323517079884755,0.016234946714599,-0.047859711782569,0.0518438030946157,-0.0258405404687736,0.00693386335435111,-0.00182892852544608,0.000289165644140943,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
