"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_13coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location","knot_13_location"
"0-17",1,-17.3490233935211,-2.23848535132961,1.66569323949378,-0.154280936738079,0.230378960501154,-0.109685325142111,0.0482696059403954,-0.0191645665631561,0.00510083736263247,-0.000618557308861936,0,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.070696540386,0.044465354768591,-0.00345627517135493,5.51454438487023e-05,0.00132327788460429,-0.00533239026866343,0.00733163354825378,0.0106251753289405,-0.048917006035471,0.0623074821329208,-0.0368163760921538,0.0123830493721049,-0.00398756778172981,0.0012216834741969,-0.00019405560680743,0,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9785875973241,-0.00252606465731064,7.05519603854896e-05,-4.96043458960106e-07,-0.000245246572213878,0.00146858348255745,-0.00331307771566011,0.00226396252575379,0.0118496569153493,-0.0341414372323632,0.0351948060370166,-0.0159035902144023,0.00377753874118854,-0.00113081929922495,0.00018108827319819,-1.09758667073466e-05,0.000264501364623567,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,319,357.5
"18-49",3,-14.9757806050362,-0.00315843694854946,8.82585990132123e-05,-6.20973108745211e-07,-0.00030118143465198,0.00180361924423967,-0.00405191182470175,0.0027320837370143,0.01380846806279,-0.0405768815078446,0.0439064261442041,-0.0219587742725356,0.00596004211013782,-0.00157046450840256,0.000250156360512339,-3.13322802586431e-06,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,297,-1
"50-64",3,-14.9752464836392,-0.00372497428512066,0.00010406853388065,-7.32007340899617e-07,-0.000357429736624316,0.0021398316955234,-0.00481373144446226,0.00329837079572363,0.0160032378002412,-0.0477552827374414,0.0526370463219534,-0.027048664491072,0.00750984773656261,-0.00191430736768478,0.000301813897235289,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1
"65+",3,-14.9757824341328,-0.00371351608903373,0.000103762187296272,-7.29982751001072e-07,-0.000354936935654078,0.00212539247808855,-0.00477730326569001,0.00323517079884755,0.016234946714599,-0.047859711782569,0.0518438030946157,-0.0258405404687736,0.00693386335435111,-0.00182892852544608,0.000289165644140943,0,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1,-1
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
