"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location"
"0-17",1,-18.6683089119888,-1.96535230871512,1.47450178769458,-0.136684085893491,0.20418258644134,-0.0972600767129761,0.042771073902379,-0.0169843845241739,0.00452323738000838,-0.000548333625660456,0,0,0,0,0,0,5.5,11,16.5,22,27.5,33,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-15.0708288349356,0.0563993310254592,-0.00452823424491642,7.78045209223009e-05,0.00144993741056989,-0.00592456190961579,0.0061199884221866,0.01536939343146,-0.0519925021837728,0.0607232049063726,-0.0347839854119414,0.0118202176630065,-0.00385422059736777,0.00118271809510749,-0.000187946876974274,0,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5,77,-1
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9767580134616,-0.0030578380471841,8.5448572780784e-05,-6.01211607972919e-07,-0.000291541350210716,0.00174602802714999,-0.00392251125295032,0.00263592535387829,0.0135196353422873,-0.0394998472976429,0.0423146411918001,-0.0207532273333108,0.00549063901290957,-0.00147134522206723,0.000232870826907958,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1
"18-49",3,-14.9731925004024,-0.00327224538794546,9.14371780747153e-05,-6.43321030084216e-07,-0.000312229214345429,0.00186976512432027,-0.0042011306247647,0.00283486215018603,0.0143277752248797,-0.0421210317827233,0.0455170312093007,-0.0226354695497144,0.00607088918362143,-0.00160253348177005,0.000253234390985028,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1
"50-64",3,-14.9751802291951,-0.00374724000121415,0.000104695435117297,-7.36462853959643e-07,-0.000359062840051681,0.00214975587314403,-0.00483459037602833,0.00330033641597798,0.0161712987353293,-0.0480564321602786,0.0527273809097084,-0.0269435596509385,0.007453280164226,-0.00190810189521122,0.000300832275423661,0,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,-1
"65+",3,-14.9758734321828,-0.00375090064867975,0.000104811363587087,-7.37407739730939e-07,-0.000358008615334226,0.00214388717351886,-0.00481737008160491,0.00325293848887281,0.0164156905064675,-0.0482784384186193,0.0522546005255189,-0.0261344208168618,0.00711619034982638,-0.00190092426678166,0.000308046351289679,-2.22464628850626e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,247.5
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
