"age_group","dose","intersect","t","t2","t3","knot_1coef","knot_2coef","knot_3coef","knot_4coef","knot_5coef","knot_6coef","knot_7coef","knot_8coef","knot_9coef","knot_10coef","knot_11coef","knot_12coef","knot_1_location","knot_2_location","knot_3_location","knot_4_location","knot_5_location","knot_6_location","knot_7_location","knot_8_location","knot_9_location","knot_10_location","knot_11_location","knot_12_location"
"0-17",1,-3.04762857835197,0.0114520819215359,-0.00258061550076504,0.000135388145788086,-0.0002378771166908,0.00019312118526576,-9.0633075364127e-05,0,0,0,0,0,0,0,0,0,11,22,27.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",2,-14.9931299226228,-0.00484444902528871,-0.00372532265674062,0.00038135667092334,-0.00266309617924677,0.00652238678065544,-0.00862632100183997,0.00469926474015884,0.0228000324936341,-0.0716849664813534,0.0865979887857583,-0.0534050585937802,0.0211211577306783,-0.00740932575816329,0.00197646867737354,-0.000309899037623904,11,16.5,22,27.5,33,38.5,44,49.5,55,60.5,66,71.5
"18-49",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"0-17",3,-14.9739074433155,-0.00350171028190307,9.78356674665994e-05,-6.88210919000964e-07,-0.000335493430600512,0.00200860644181789,-0.00451696162467082,0.00308504395211007,0.0150671789156994,-0.0447670203727328,0.0492741953958466,-0.025493759096272,0.00722485239121338,-0.00183638833693953,0.000292965631380449,-4.47505252411916e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,258.5
"18-49",3,-14.97825264557,-0.00321792905200245,8.9905939152657e-05,-6.32418394128596e-07,-0.000308556587004879,0.00184751964900388,-0.00415554115760796,0.0028257245585985,0.0141419461855524,-0.0414274116640723,0.0442603978247021,-0.0213565081297206,0.00515757486500767,-0.00103471266101653,5.15672992847094e-05,-2.1056478591865e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,154,253
"50-64",3,-14.9752160903226,-0.0031921974611439,8.92544848059014e-05,-6.28479040781777e-07,-0.000298885005287974,0.00179139473435248,-0.00400835779335109,0.00257543160667766,0.0146028171914473,-0.0413389267488579,0.0424242901537615,-0.019167976890543,0.00458152744332361,-0.0013836667394743,0.000224463485750158,-2.17643050825795e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,148.5,269.5
"65+",3,-14.9742039957025,-0.00295508459337609,8.25888958611625e-05,-5.81197429743963e-07,-0.00028085031461853,0.00168285705131916,-0.00377837313186903,0.00247711460527114,0.013919272341882,-0.0390213869311555,0.0388295895150466,-0.0163925572645598,0.00350596876251499,-0.000980938942466105,4.20601159589724e-05,-3.91984654392409e-06,93.5,99,104.5,110,115.5,121,126.5,132,137.5,143,154,247.5
"0-17",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"18-49",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"50-64",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"65+",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
